media_id,split,request_start_utc,request_end_utc,latency_seconds,attempt_count,first_attempt_success,http_ok,status_code,error_type
IMG_003893,DEV,,,1.5574867725372314,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003894,DEV,,,1.5813591480255127,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003895,DEV,,,1.5973412990570068,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003896,DEV,,,1.5750579833984375,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003897,DEV,,,1.6143994331359863,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003898,DEV,,,1.5333671569824219,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003899,DEV,,,1.4769115447998047,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003900,DEV,,,1.4471156597137451,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004002,DEV,,,1.5038557052612305,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003901,DEV,,,1.8839306831359863,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003902,DEV,,,1.4659695625305176,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003903,DEV,,,1.5201404094696045,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003904,DEV,,,1.4588911533355713,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003905,DEV,,,1.4714584350585938,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003906,DEV,,,1.4887630939483643,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003907,DEV,,,1.5056254863739014,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003908,DEV,,,1.673738718032837,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003909,DEV,,,1.4991741180419922,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003910,DEV,,,1.6649184226989746,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004003,DEV,,,1.5632283687591553,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003911,DEV,,,1.476837158203125,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003912,DEV,,,1.6663322448730469,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003913,DEV,,,1.6249511241912842,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003914,DEV,,,1.5495452880859375,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003915,DEV,,,1.670128583908081,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003916,DEV,,,1.561452865600586,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003917,DEV,,,1.4872570037841797,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003918,DEV,,,1.5044715404510498,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003919,DEV,,,1.7020142078399658,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003920,DEV,,,1.5658245086669922,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004004,DEV,,,1.540400505065918,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003921,DEV,,,1.521939754486084,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003922,DEV,,,1.5623056888580322,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003923,DEV,,,1.622828722000122,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003924,DEV,,,1.5734429359436035,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003925,DEV,,,1.6084964275360107,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003926,DEV,,,1.6883995532989502,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003927,DEV,,,1.5819926261901855,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003928,DEV,,,1.7456417083740234,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003929,DEV,,,1.4391131401062012,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003930,DEV,,,1.5339751243591309,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004005,DEV,,,1.5725128650665283,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003931,DEV,,,1.537522792816162,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003932,DEV,,,1.491976261138916,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003933,DEV,,,1.7221081256866455,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003934,DEV,,,1.4259850978851318,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003935,DEV,,,1.5490472316741943,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003936,DEV,,,1.7948276996612549,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003937,DEV,,,1.6875345706939697,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003938,DEV,,,1.441420316696167,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003939,DEV,,,1.5468225479125977,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003940,DEV,,,1.4948415756225586,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004006,DEV,,,1.5793867111206055,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003941,DEV,,,1.5797197818756104,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003942,VAL,,,1.5917487144470215,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003943,VAL,,,1.5103118419647217,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003944,VAL,,,1.5286281108856201,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003945,VAL,,,1.9154415130615234,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003946,VAL,,,1.5586051940917969,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003947,VAL,,,1.6221323013305664,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003948,VAL,,,1.6987450122833252,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003949,VAL,,,1.4462699890136719,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003950,VAL,,,1.6861553192138672,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004007,DEV,,,1.503950595855713,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003951,VAL,,,1.4204187393188477,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003952,VAL,,,1.5044398307800293,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003953,VAL,,,1.6035375595092773,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003954,VAL,,,1.47125244140625,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003955,VAL,,,1.5653936862945557,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003956,VAL,,,1.5015361309051514,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003957,VAL,,,1.524174451828003,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003958,VAL,,,1.6080806255340576,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003959,VAL,,,1.4347004890441895,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003960,VAL,,,1.4953410625457764,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004008,DEV,,,1.4472556114196777,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003961,VAL,,,1.3942711353302002,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004009,DEV,,,1.4952762126922607,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004010,DEV,,,1.4370131492614746,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003702,DEV,,,1.5421617031097412,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
