total_duration,load_duration,prompt_eval_duration,eval_duration,prompt_eval_count,eval_count,candidate,media_id,request_id,client_latency_seconds
1.888183681,0.428201569,0.201205696,0.775751422,1039,96,S1_STRUCTURED,IMG_004074,P3_SCREEN_S1_STRUCTURED_20260827_114003_093,1.8977714330003437
2.077898038,0.520831927,0.201135779,0.79104688,1039,97,S1_STRUCTURED,IMG_004075,P3_SCREEN_S1_STRUCTURED_20260827_114003_094,2.0890289930002837
1.919815315,0.461988794,0.189746772,0.769069158,1039,96,S1_STRUCTURED,IMG_004076,P3_SCREEN_S1_STRUCTURED_20260827_114003_095,1.9298304080002708
1.888556074,0.414639012,0.209328449,0.775556569,1039,96,S1_STRUCTURED,IMG_004077,P3_SCREEN_S1_STRUCTURED_20260827_114003_096,1.8964621280001666
1.875082148,0.425979582,0.251419975,0.759179956,1039,96,S1_STRUCTURED,IMG_004078,P3_SCREEN_S1_STRUCTURED_20260827_114003_097,1.8826455770004031
2.057930236,0.439500992,0.241618022,0.851420523,1039,101,S1_STRUCTURED,IMG_004079,P3_SCREEN_S1_STRUCTURED_20260827_114003_098,2.0659170150001955
1.896270908,0.422339709,0.190895651,0.772369541,1039,96,S1_STRUCTURED,IMG_004080,P3_SCREEN_S1_STRUCTURED_20260827_114003_099,1.9042811460003577
1.978106852,0.443479617,0.199525786,0.786038996,1039,97,S1_STRUCTURED,IMG_004081,P3_SCREEN_S1_STRUCTURED_20260827_114003_100,1.987619456000175
2.047608288,0.49047938,0.210162703,0.826618024,1039,98,S1_STRUCTURED,IMG_004082,P3_SCREEN_S1_STRUCTURED_20260827_114003_101,2.057451502000731
2.085521181,0.442064933,0.206644241,0.865338905,1039,102,S1_STRUCTURED,IMG_004083,P3_SCREEN_S1_STRUCTURED_20260827_114003_102,2.094948447999741
2.159479649,0.519755929,0.204130866,0.822885208,1039,97,S1_STRUCTURED,IMG_004084,P3_SCREEN_S1_STRUCTURED_20260827_114003_103,2.1725022880000324
2.12620932,0.506327559,0.228591742,0.817153471,1039,96,S1_STRUCTURED,IMG_004085,P3_SCREEN_S1_STRUCTURED_20260827_114003_104,2.1371280240000488
2.032384312,0.441280146,0.206706104,0.817282536,1039,96,S1_STRUCTURED,IMG_004086,P3_SCREEN_S1_STRUCTURED_20260827_114003_105,2.042461072000151
2.086920796,0.47440457,0.200161066,0.889321142,1039,105,S1_STRUCTURED,IMG_004087,P3_SCREEN_S1_STRUCTURED_20260827_114003_106,2.098513998999806
1.907768349,0.406377508,0.200841258,0.800375436,1039,95,S1_STRUCTURED,IMG_004088,P3_SCREEN_S1_STRUCTURED_20260827_114003_107,1.9179954669998551
2.096590978,0.450880125,0.212479275,0.873317887,1039,102,S1_STRUCTURED,IMG_004089,P3_SCREEN_S1_STRUCTURED_20260827_114003_108,2.1070834150004885
