scope,component,count,mean,median,p50,p90,p95,max
P2L_A,load,24,0.7393042869583334,0.4731325535,0.4731325535,0.4992110295,0.50324730195,6.985410339
P2L_A,prompt_eval,24,0.043897200708333334,0.036959622,0.036959622,0.0550335145,0.056823246699999996,0.135522362
P2L_A,eval,24,0.43950530433333335,0.4406488645,0.4406488645,0.4437470185,0.45021365425,0.454358963
P2L_A,client_overhead,24,0.007729269249999994,0.007125417499999953,0.007125417499999953,0.008126109300000128,0.008581136750000107,0.021291921999999852
P2L_A,load_ratio,24,0.35372029929321125,0.3357561899768632,0.3357561899768632,0.3506033324584715,0.3534145115960777,0.8436294193730105
P2L_A,prompt_eval_ratio,24,0.027868538736884604,0.026664836179715525,0.026664836179715525,0.03660253953399868,0.03919221912682431,0.039943053488804135
P2L_A,eval_ratio,24,0.30169660735466414,0.31094395235227135,0.31094395235227135,0.3218315317350971,0.3242905686730983,0.33134466829721043
P2L_B,client,24,1.3972517083333333,1.3966615,1.3966615,1.4379847000000001,1.4403333999999999,1.447384
P2L_B,total,24,1.3900298891666667,1.390040952,1.390040952,1.4309372129,1.43313132105,1.439994188
P2L_B,load,24,0.46303780083333335,0.466865331,0.466865331,0.4902717107,0.49878309569999996,0.508403137
P2L_B,prompt_eval,24,0.04079471004166667,0.0368947575,0.0368947575,0.0528459806,0.053363136049999996,0.055482554
P2L_B,eval,24,0.43871884341666667,0.437947574,0.437947574,0.4469435547,0.44771869485,0.4502001
P2L_B,client_overhead,24,0.007221819166666671,0.0072632929999999485,0.0072632929999999485,0.007593784899999978,0.007848246300000016,0.008101761999999901
P2L_B,load_ratio,24,0.3330120858055711,0.3384579824346292,0.3384579824346292,0.34891515599211576,0.35283469377563753,0.3554831767341595
P2L_B,prompt_eval_ratio,24,0.029329015737734516,0.02683472556281847,0.02683472556281847,0.03701490147656608,0.03856596994563126,0.03932546864276443
P2L_B,eval_ratio,24,0.31573830709874495,0.31807104612940185,0.31807104612940185,0.3234435450078094,0.3243563172689918,0.3268389746888074
P2L_C,client,16,1.67264575,1.7178955,1.7178955,1.797357,1.82652225,1.910301
P2L_C,total,16,1.665158895875,1.7102881805,1.7102881805,1.789690629,1.8189605690000001,1.902706781
P2L_C,load,16,0.4683775918125,0.453338545,0.453338545,0.5138527235,0.53035083675,0.554933283
P2L_C,prompt_eval,16,0.132637711625,0.131056877,0.131056877,0.14098039699999998,0.14484289025,0.154302851
P2L_C,eval,16,0.5248584215625,0.5296359319999999,0.5296359319999999,0.6382806005,0.6599357645,0.719612717
P2L_C,client_overhead,16,0.0074868541250000115,0.007572526999999996,0.007572526999999996,0.00800152250000008,0.008169448000000135,0.008625085000000032
P2L_C,load_ratio,16,0.28234827421216296,0.28710328112225486,0.28710328112225486,0.3104218746202312,0.31286130461192235,0.3174420962725324
P2L_C,prompt_eval_ratio,16,0.0802436844721995,0.07867553583668843,0.07867553583668843,0.09016215023423421,0.09281982582448857,0.09904829614360311
P2L_C,eval_ratio,16,0.3132962517378437,0.3111034909189102,0.3111034909189102,0.3621136356064718,0.3692974933992625,0.3782047366340888
P2L_A_ATTEMPT_001,client,1,7.073627,7.073627,7.073627,7.073627,7.073627,7.073627
P2L_A_ATTEMPT_001,total,1,7.066978794,7.066978794,7.066978794,7.066978794,7.066978794,7.066978794
P2L_A_ATTEMPT_001,load,1,5.839109138,5.839109138,5.839109138,5.839109138,5.839109138,5.839109138
P2L_A_ATTEMPT_001,prompt_eval,1,0.125953676,0.125953676,0.125953676,0.125953676,0.125953676,0.125953676
P2L_A_ATTEMPT_001,eval,1,0.430625713,0.430625713,0.430625713,0.430625713,0.430625713,0.430625713
P2L_A_ATTEMPT_001,client_overhead,1,0.006648206000000378,0.006648206000000378,0.006648206000000378,0.006648206000000378,0.006648206000000378,0.006648206000000378
P2L_A_ATTEMPT_001,load_ratio,1,0.8262525342452585,0.8262525342452585,0.8262525342452585,0.8262525342452585,0.8262525342452585,0.8262525342452585
